"code","id","parent_id/id","type","user_type/id","name","reconcile"
"921000","k921","c_92","other","account.data_account_type_liability","Rezerve za lastne delnice oziroma lastne poslovne deleže","True"
"922000","k922","c_92","other","account.data_account_type_liability","Statutarne rezerve","True"
"923000","k923","c_92","other","account.data_account_type_liability","Druge rezerve iz dobička","True"
"929000","k929","c_92","other","account.data_account_type_liability","Pridobljene lastne delnice oziroma lastni poslovni deleži (odbitna postavka)","True"
"93","c_93","capital","view","account.data_account_type_view","Čisti dobiček ali čista izguba","False"
"930000","k930","c_93","other","account.data_account_type_liability","Preneseni čisti dobiček iz prejšnjih let","True"
"931000","k931","c_93","other","account.data_account_type_liability","Prenesena čista izguba iz prejšnjih let","True"
"932000","k932","c_93","other","account.data_account_type_liability","Neuporabljeni del čistega dobička poslovnega leta","True"
"933000","k933","c_93","other","account.data_account_type_liability","Čista izguba poslovnega leta","True"
"934000","k934","c_93","other","account.data_account_type_liability","Prenos iz presežka iz prevrednotenja","True"
"95","c_95","capital","view","account.data_account_type_view","Presežek iz prevrednotenja","False"
"950000","k950","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja zemljišč","True"
"951000","k951","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja zgradb","True"
"952000","k952","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja opreme","True"
"953000","k953","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja neopredmetenih sredstev","True"
"954000","k954","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja dolgoročnih finančnih naložb","True"
"955000","k955","c_95","other","account.data_account_type_liability","Presežek iz prevrednotenja kratkoročnih finančnih naložb","True"
"959000","k959","c_95","other","account.data_account_type_liability","Popravek vrednosti presežkov iz prevrednotenja za odloženi davek","True"
"96","c_96","capital","view","account.data_account_type_view","Rezervacije in dolgoročne pasivne časovne razmejitve","False"
"960000","k960","c_96","other","account.data_account_type_liability","Rezervacije za stroške reorganizacije podjetja","True"
"961000","k961","c_96","other","account.data_account_type_liability","Rezervacije za pokrivanje prihodnjih stroškov oziroma odhodkov zaradi razgradnje in ponovne vzpostavitve prvotnega stanja ter druge podobne rezervacije","True"
"962000","k962","c_96","other","account.data_account_type_liability","Rezervacije za kočljive pogodbe","True"
"963000","k963","c_96","other","account.data_account_type_liability","Rezervacije za pokojnine, jubilejne nagrade in odpravnine ob upokojitvi","True"
"964000","k964","c_96","other","account.data_account_type_liability","Rezervacije za dana jamstva","True"
"965000","k965","c_96","other","account.data_account_type_liability","Druge rezervacije iz naslova dolgoročno vnaprej vračunanih stroškov","True"
"966000","k966","c_96","other","account.data_account_type_liability","Prejete državne podpore","True"
"967000","k967","c_96","other","account.data_account_type_liability","Prejete donacije","True"
"968000","k968","c_96","other","account.data_account_type_liability","Druge dolgoročne pasivne časovne razmejitve","True"
"97","c_97","capital","view","account.data_account_type_view","Dolgoročne finančne obveznosti","False"
"970000","k970","c_97","other","account.data_account_type_liability","Dolgoročna posojila, dobljena pri družbah v skupini","True"
"971000","k971","c_97","other","account.data_account_type_liability","Dolgoročna posojila, dobljena pri pridruženih družbah","True"
"972000","k972","c_97","other","account.data_account_type_liability","Dolgoročna posojila, dobljena pri bankah in družbah v državi","True"
"973000","k973","c_97","other","account.data_account_type_liability","Dolgoročna posojila, dobljena pri bankah in družbah v tujini","True"
"974000","k974","c_97","other","account.data_account_type_liability","Dolgoročne finančne obveznosti v zvezi z obveznicami","True"
"975000","k975","c_97","other","account.data_account_type_liability","Dolgoročni dolgovi iz finančnega najema","True"
"976000","k976","c_97","other","account.data_account_type_liability","Dolgoročne finančne obveznosti do fizičnih oseb","True"
"979000","k979","c_97","other","account.data_account_type_liability","Druge dolgoročne finančne obveznosti","True"
"98","c_98","capital","view","account.data_account_type_view","Dolgoročne poslovne obveznosti","False"
"980000","k980","c_98","other","account.data_account_type_liability","Dolgoročni krediti, dobljeni na podlagi kreditnih pogodb od družb v skupini","True"
"981000","k981","c_98","other","account.data_account_type_liability","Dolgoročni krediti, dobljeni na podlagi kreditnih pogodb od pridruženih družb in skupaj obvladovanih družb","True"
"982000","k982","c_98","other","account.data_account_type_liability","Dolgoročni krediti, dobljeni od drugih domačih dobaviteljev","True"
"983000","k983","c_98","other","account.data_account_type_liability","Dolgoročni krediti, dobljeni od drugih tujih dobaviteljev","True"
"985000","k985","c_98","other","account.data_account_type_liability","Dolgoročne menične obveznosti","True"
"986000","k986","c_98","other","account.data_account_type_liability","Dolgoročni dobljeni predujmi in varščine","True"
"988000","k988","c_98","other","account.data_account_type_liability","Obveznosti za odloženi davek","True"
"989000","k989","c_98","other","account.data_account_type_liability","Druge dolgoročne poslovne obveznosti","True"
"99","c_99","capital","view","account.data_account_type_view","Zunajbilančni konti","False"
"990000","k990","c_99","other","account.data_account_type_liability","Najeta, izposojena in zakupljena (tuja) sredstva","True"
"991000","k991","c_99","other","account.data_account_type_liability","Menice in drugi vrednostni papirji, prejeti za zavarovanje plačil","True"
"992000","k992","c_99","other","account.data_account_type_liability","Blago, prejeto v komisijsko in konsignacijsko prodajo","True"
"993000","k993","c_99","other","account.data_account_type_liability","Vrednotnice, izdane za obračunavanje znotraj pravne osebe","True"
"994000","k994","c_99","other","account.data_account_type_liability","Drugi aktivni zunajbilančni konti","True"
"995000","k995","c_99","other","account.data_account_type_liability","Lastniki najetih, izposojenih in zakupljenih sredstev","True"
"996000","k996","c_99","other","account.data_account_type_liability","Dolžniki, ki so zavarovali plačila z menicami in drugimi vrednostnimi papirji","True"
"997000","k997","c_99","other","account.data_account_type_liability","Obveznosti iz blaga, prejetega v komisijsko in konsignacijsko prodajo","True"
"998000","k998","c_99","other","account.data_account_type_liability","Nominalna vrednost vrednotnic, izdanih za obračunavanje znotraj pravne osebe","True"
"999000","k999","c_99","other","account.data_account_type_liability","Drugi pasivni zunajbilančni konti","True"
