"custom_rate","code","duty_free_tl","name","category_id:id","id"
"3.673","030213","100.0","Fresh or chilled Pacific salmon 'Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus'","categ_0302","hs_code_030213"
"3.673","030214","100.0","Fresh or chilled Atlantic salmon 'Salmo salar' and Danube salmon 'Hucho hucho'","categ_0302","hs_code_030214"
"3.673","030219","100.0","Fresh or chilled salmonidae (excl. trout 'Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster', Pacific salmon 'Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus', Atlantic salmon 'Salmo salar' and Danube salmon 'Hucho hucho')","categ_0302","hs_code_030219"
"3.673","030221","100.0","Fresh or chilled lesser or Greenland halibut 'Reinhardtius hippoglossoides, Atlantic halibut 'Hippoglossus hippoglossus' and Pacific halibut 'Hippoglossus stenolepis'","categ_0302","hs_code_030221"
"3.673","030222","100.0","Fresh or chilled plaice 'Pleuronectes platessa'","categ_0302","hs_code_030222"
"3.673","030223","100.0","Fresh or chilled sole 'Solea spp.'","categ_0302","hs_code_030223"
"3.673","030224","100.0","Fresh or chilled turbot 'Psetta maxima'","categ_0302","hs_code_030224"
"3.673","030229","100.0","Fresh or chilled flat fish 'Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae' (excl. halibut 'Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepis', plaice 'Pleuronectes platessa', sole 'Solea spp.' and turbot 'Psetta maxima')","categ_0302","hs_code_030229"
"3.673","030231","100.0","Fresh or chilled albacore or longfinned tunas 'Thunnus alalunga'","categ_0302","hs_code_030231"
"3.673","030232","100.0","Fresh or chilled yellowfin tunas 'Thunnus albacares'","categ_0302","hs_code_030232"
"3.673","030233","100.0","Fresh or chilled skipjack or stripe-bellied bonito","categ_0302","hs_code_030233"
"3.673","030234","100.0","Fresh or chilled bigeye tunas 'Thunnus obesus'","categ_0302","hs_code_030234"
"3.673","030235","100.0","Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","categ_0302","hs_code_030235"
"3.673","030236","100.0","Fresh or chilled Southern bluefin tunas 'Thunnus maccoyii'","categ_0302","hs_code_030236"
"3.673","030239","100.0","Fresh or chilled tunas of the genus 'Thunnus' (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)","categ_0302","hs_code_030239"
"3.673","030241","100.0","Fresh or chilled herring 'Clupea harengus, clupea pallasii'","categ_0302","hs_code_030241"
"3.673","030242","100.0","Fresh or chilled anchovies 'Engraulis spp.'","categ_0302","hs_code_030242"
"3.673","030243","100.0","Fresh or chilled sardines 'Sardina pilchardus, Sardinops spp.', sardinella 'Sardinella spp.', brisling or sprats 'Sprattus sprattus'","categ_0302","hs_code_030243"
"3.673","030244","100.0","Fresh or chilled mackerel 'Scomber scombrus, Scomber australasicus, Scomber japonicus'","categ_0302","hs_code_030244"
"3.673","030245","100.0","Fresh or chilled jack and horse mackerel 'Trachurus spp.'","categ_0302","hs_code_030245"
"3.673","030246","100.0","Fresh or chilled cobia 'Rachycentron canadum'","categ_0302","hs_code_030246"
"3.673","030247","100.0","Fresh or chilled swordfish 'Xiphias gladius'","categ_0302","hs_code_030247"
"3.673","030251","100.0","Fresh or chilled cod 'Gadus morhua, Gadus ogac, Gadus macrocephalus'","categ_0302","hs_code_030251"
"3.673","030252","100.0","Fresh or chilled haddock 'Melanogrammus aeglefinus'","categ_0302","hs_code_030252"
"3.673","030253","100.0","Fresh or chilled coalfish 'Pollachius virens'","categ_0302","hs_code_030253"
"3.673","030254","100.0","Fresh or chilled hake 'Merluccius spp., Urophycis spp.'","categ_0302","hs_code_030254"
"3.673","030255","100.0","Fresh or chilled Alaska pollack 'Theragra chalcogramma'","categ_0302","hs_code_030255"
"3.673","030256","100.0","Fresh or chilled blue whiting 'Micromesistius poutassou, Micromesistius australis'","categ_0302","hs_code_030256"
"3.673","030259","100.0","Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whitings)","categ_0302","hs_code_030259"
"3.673","030271","100.0","Fresh or chilled tilapia 'Oreochromis spp.'","categ_0302","hs_code_030271"
"3.673","030272","100.0","Fresh or chilled catfish 'Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.'","categ_0302","hs_code_030272"
"3.673","030273","100.0","Fresh or chilled carp 'Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus'","categ_0302","hs_code_030273"
"3.673","030274","100.0","Fresh or chilled eels 'Anguilla spp.'","categ_0302","hs_code_030274"
"3.673","030279","100.0","Fresh or chilled, Nile perch 'Lates niloticus' and snakeheads 'Channa spp.'","categ_0302","hs_code_030279"
"3.673","030281","100.0","Fresh or chilled dogfish and other sharks","categ_0302","hs_code_030281"
"3.673","030282","100.0","Fresh or chilled, rays and skates 'Rajidae'","categ_0302","hs_code_030282"
"3.673","030283","100.0","Fresh or chilled toothfish 'Dissostichus spp.'","categ_0302","hs_code_030283"
"3.673","030284","100.0","Fresh or chilled sea bass 'Dicentrarchus spp.'","categ_0302","hs_code_030284"
"3.673","030285","100.0","Fresh or chilled sea bream 'Sparidae'","categ_0302","hs_code_030285"
"3.673","030289","100.0","Fresh or chilled fish, n.e.s.","categ_0302","hs_code_030289"
"3.673","030290","100.0","Fresh or chilled fish livers and roes","categ_0302","hs_code_030290"
"3.673","030311","0.0","Frozen sockeye salmon [red salmon] 'Oncorhynchus nerka'","categ_0303","hs_code_030311"
"3.673","030312","0.0","Frozen Pacific salmon (excl. sockeye salmon 'red salmon')","categ_0303","hs_code_030312"
"3.673","030313","0.0","Frozen, Atlantic salmon 'Salmo salar' and Danube salmon 'Hucho hucho'","categ_0303","hs_code_030313"
"3.673","030314","0.0","Frozen trout 'Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster'","categ_0303","hs_code_030314"
"3.673","030319","0.0","Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)","categ_0303","hs_code_030319"
"3.673","030323","0.0","Frozen tilapia 'Oreochromis spp.'","categ_0303","hs_code_030323"
"3.673","030324","0.0","Frozen catfish 'Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.'","categ_0303","hs_code_030324"
"3.673","030325","0.0","Frozen carp 'Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus'","categ_0303","hs_code_030325"
"3.673","030326","0.0","Frozen eels 'Anguilla spp.'","categ_0303","hs_code_030326"
"3.673","030329","0.0","Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)","categ_0303","hs_code_030329"
"3.673","030331","0.0","Frozen lesser or Greenland halibut 'Reinhardtius hippoglossoides', Atlantic halibut 'Hippoglossus hippoglossus' and Pacific halibut 'Hippoglossus stenolepis'","categ_0303","hs_code_030331"
"3.673","030332","0.0","Frozen plaice 'Pleuronectes platessa'","categ_0303","hs_code_030332"
"3.673","030333","0.0","Frozen sole 'Solea spp.'","categ_0303","hs_code_030333"
"3.673","030334","0.0","Frozen turbot 'Psetta maxima'","categ_0303","hs_code_030334"
"3.673","030339","0.0","Frozen flat fish 'Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae' (excl. halibut, plaice, sole and turbot)","categ_0303","hs_code_030339"
"3.673","030341","0.0","Frozen albacore or longfinned tunas 'Thunnus alalunga'","categ_0303","hs_code_030341"
"3.673","030342","0.0","Frozen yellowfin tunas 'Thunnus albacares'","categ_0303","hs_code_030342"
"3.673","030343","0.0","Frozen skipjack or stripe-bellied bonito 'Euthynnus -Katsuwonus- pelamis'","categ_0303","hs_code_030343"
"3.673","030344","0.0","Frozen bigeye tunas 'Thunnus obesus'","categ_0303","hs_code_030344"
"3.673","030345","0.0","Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","categ_0303","hs_code_030345"
"3.673","030346","0.0","Frozen Southern bluefin tunas 'Thunnus maccoyii'","categ_0303","hs_code_030346"
"3.673","030349","0.0","Frozen tunas of the genus 'Thunnus' (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)","categ_0303","hs_code_030349"
"3.673","030351","0.0","Frozen herrings 'Clupea harengus, Clupea pallasii'","categ_0303","hs_code_030351"
"3.673","030353","0.0","Frozen sardines 'Sardina pilchardus, Sardinops spp.', sardinella 'Sardinella spp.', brisling or sprats 'Sprattus sprattus'","categ_0303","hs_code_030353"
"3.673","030354","0.0","Frozen mackerel 'Scomber scombrus, Scomber australasicus, Scomber japonicus'","categ_0303","hs_code_030354"
"3.673","030355","0.0","Frozen jack and horse mackerel 'Trachurus spp.'","categ_0303","hs_code_030355"
"3.673","030356","0.0","Frozen cobia 'Rachycentron canadum'","categ_0303","hs_code_030356"
"3.673","030357","0.0","Frozen swordfish 'Xiphias gladius'","categ_0303","hs_code_030357"
"3.673","030363","0.0","Frozen cod 'Gadus morhua, Gadus ogac, Gadus macrocephalus'","categ_0303","hs_code_030363"
"3.673","030364","0.0","Frozen haddock 'Melanogrammus aeglefinus'","categ_0303","hs_code_030364"
"3.673","030365","0.0","Frozen coalfish 'Pollachius virens'","categ_0303","hs_code_030365"
"3.673","030366","0.0","Frozen hake 'Merluccius spp., Urophycis spp.'","categ_0303","hs_code_030366"
"3.673","030367","0.0","Frozen Alaska pollack 'Theragra chalcogramma'","categ_0303","hs_code_030367"
"3.673","030368","0.0","Frozen blue whiting 'Micromesistius poutassou, Micromesistius australis'","categ_0303","hs_code_030368"
"3.673","030369","0.0","Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whiting)","categ_0303","hs_code_030369"
"3.673","030381","0.0","Frozen dogfish and other sharks","categ_0303","hs_code_030381"
"3.673","030382","0.0","Frozen rays and skates 'Rajidae'","categ_0303","hs_code_030382"
"3.673","030383","0.0","Frozen toothfish 'Dissostichus spp.'","categ_0303","hs_code_030383"
"3.673","030384","0.0","Frozen sea bass 'Dicentrarchus spp.'","categ_0303","hs_code_030384"
"3.673","030389","0.0","Frozen fish, n.e.s.","categ_0303","hs_code_030389"
"3.673","030390","0.0","Frozen fish livers and roes","categ_0303","hs_code_030390"
"3.673","030431","0.0","Fresh or chilled fillets of tilapia 'Oreochromis spp.'","categ_0304","hs_code_030431"
"3.673","030432","0.0","Fresh or chilled fillets of catfish 'Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.'","categ_0304","hs_code_030432"
"3.673","030433","0.0","Fresh or chilled fillets of Nile perch 'Lates niloticus'","categ_0304","hs_code_030433"
"3.673","030439","0.0","Fresh or chilled fillets of carp 'Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus',  eels 'Anguilla spp.' and snakeheads 'Channa spp.'","categ_0304","hs_code_030439"
