id,description,chart_template_id:id,name,sequence,amount,parent_id:id,child_depend,type,account_collected_id:id,account_paid_id:id,type_tax_use,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,price_include,base_sign,tax_sign
a8c2v,a8c2v,l10n_it_chart_template_generic,Vend.N.I. art.8c2 DPR633 (lett.Intento),50,,,False,percent,,,sale,template_impcode_riscossa_a8c2,,template_impcode_riscossa_a8c2,,-1,-1,False,1,1
a9a,a9a,l10n_it_chart_template_generic,Acq.N.I. art.9 DPR633,51,,,False,percent,,,purchase,template_impcode_pagata_a9,,template_impcode_pagata_a9,,1,1,False,-1,-1
a9v,a9v,l10n_it_chart_template_generic,Vend.N.I. art.9 DPR633,52,,,False,percent,,,sale,template_impcode_riscossa_a9,,template_impcode_riscossa_a9,,-1,-1,False,1,1
a10a,a10a,l10n_it_chart_template_generic,Acq.esente art.10 DPR633,53,,,False,percent,,,purchase,template_impcode_pagata_a10,,template_impcode_pagata_a10,,1,1,False,-1,-1
a10v,a10v,l10n_it_chart_template_generic,Vend.esente art.10 DPR633,54,,,False,percent,,,sale,template_impcode_riscossa_a10,,template_impcode_riscossa_a10,,-1,-1,False,1,1
a10c5a,a10c5a,l10n_it_chart_template_generic,Acq.esente art.10n27-quinques DPR633,55,,,False,percent,,,purchase,template_impcode_pagata_a10c5,,template_impcode_pagata_a10c5,,1,1,False,-1,-1
a10c5v,a10c5v,l10n_it_chart_template_generic,Vend.esente art.10n27-quinques DPR633,56,,,False,percent,,,sale,template_impcode_riscossa_a10c5,,template_impcode_riscossa_a10c5,,-1,-1,False,1,1
a13a,a13a,l10n_it_chart_template_generic,Acq.escluso art.13 DPR633,57,,,False,percent,,,purchase,template_impcode_pagata_a13,,template_impcode_pagata_a13,,1,1,False,-1,-1
a13v,a13v,l10n_it_chart_template_generic,Vend.escluso art.13 DPR633,58,,,False,percent,,,sale,template_impcode_riscossa_a13,,template_impcode_riscossa_a13,,-1,-1,False,1,1
a15a,a15a,l10n_it_chart_template_generic,Acq.escluso art.15 DPR633,59,,,False,percent,,,purchase,template_impcode_pagata_a15,,template_impcode_pagata_a15,,1,1,False,-1,-1
a15v,a15v,l10n_it_chart_template_generic,Vend.escluso art.15 DPR633,60,,,False,percent,,,sale,template_impcode_riscossa_a15,,template_impcode_riscossa_a15,,-1,-1,False,1,1
a17a,a17a,l10n_it_chart_template_generic,Acq.FC IVA Art.17 DPR633,61,,,False,percent,,,purchase,template_impcode_pagata_a17,,template_impcode_pagata_a17,,1,1,False,-1,-1
a17v,a17v,l10n_it_chart_template_generic,Vend.FC IVA Art.17 DPR633,62,,,False,percent,,,sale,template_impcode_riscossa_a17,,template_impcode_riscossa_a17,,-1,-1,False,1,1
a17c2a,a17c2a,l10n_it_chart_template_generic,N.I. art.17c2 DPR633,63,0.22,,False,percent,153010,153010,purchase,template_impcode_pagata_a17c2,template_ivacode_pagata_a17c2,template_impcode_pagata_a17c2,template_ivacode_pagata_a17c2,1,1,False,-1,-1
a17c2v,a17c2v,l10n_it_chart_template_generic,Rev. charge art.17c2 DPR633,64,0.22,,False,percent,153010,153010,sale,template_impcode_riscossa_a17c2,template_ivacode_riscossa_a17c2,template_impcode_riscossa_a17c2,template_ivacode_riscossa_a17c2,-1,-1,False,1,1
a17c6a,a17c6a,l10n_it_chart_template_generic,N.I. art.17c6 DPR633,65,0.22,,False,percent,153010,153010,purchase,template_impcode_pagata_a17c6,template_ivacode_pagata_a17c6,template_impcode_pagata_a17c6,template_ivacode_pagata_a17c6,1,1,False,-1,-1
a17c6v,a17c6v,l10n_it_chart_template_generic,Rev. charge art.17c6 DPR633,66,0.22,,False,percent,153010,153010,sale,template_impcode_riscossa_a17c6,template_ivacode_riscossa_a17c6,template_impcode_riscossa_a17c6,template_ivacode_riscossa_a17c6,-1,-1,False,1,1
l41a36a,l41a36a,l10n_it_chart_template_generic,Acq.N.Sogg. reg.Marg. (art.36 L41/95),67,,,False,percent,,,purchase,template_impcode_pagata_a36,,template_impcode_pagata_a36,,1,1,False,-1,-1
l41a36v,l41a36v,l10n_it_chart_template_generic,Vend.N.Sogg. reg.Marg. (art.36 L41/95),68,,,False,percent,,,sale,template_impcode_riscossa_a36,,template_impcode_riscossa_a36,,-1,-1,False,1,1
l41a37a,l41a37a,l10n_it_chart_template_generic,Acq.Op.UE reg.Margine (art.37 L41/95),69,,,False,percent,,,purchase,template_impcode_pagata_a37,,template_impcode_pagata_a37,,1,1,False,-1,-1
l41a37v,l41a37v,l10n_it_chart_template_generic,Vend.Op.UE reg.Margine (art.37 L41/95),70,,,False,percent,,,sale,template_impcode_riscossa_a37,,template_impcode_riscossa_a37,,-1,-1,False,1,1
a38a,a38a,l10n_it_chart_template_generic,N.I. art.38 L.427/93,71,0.22,,False,percent,153010,153010,purchase,template_impcode_pagata_a38,template_ivacode_pagata_a38,template_impcode_pagata_a38,template_ivacode_pagata_a38,1,1,False,-1,-1
a38v,a38v,l10n_it_chart_template_generic,Rev. charge art.38 L.427/93,72,0.22,,False,percent,153010,153010,sale,template_impcode_riscossa_a38,template_ivacode_riscossa_a38,template_impcode_riscossa_a38,template_ivacode_riscossa_a38,-1,-1,False,1,1
a41a,a41a,l10n_it_chart_template_generic,Acq.N.I. art.41 L.427/93,73,,,False,percent,,,purchase,template_impcode_pagata_a41,,template_impcode_pagata_a41,,1,1,False,-1,-1
a41v,a41v,l10n_it_chart_template_generic,Vend.N.I. art.41 L.427/93,74,,,False,percent,,,sale,template_impcode_riscossa_a41,,template_impcode_riscossa_a41,,-1,-1,False,1,1
l244a,l244a,l10n_it_chart_template_generic,Acq.art.1c96-117 L.244/07 (reg.Minimo),75,,,False,percent,,,purchase,template_impcode_pagata_l244,,template_impcode_pagata_l244,,1,1,False,-1,-1
l244v,l244v,l10n_it_chart_template_generic,Vend.art.1c96-117 L.244/07 (reg.Minimo),76,,,False,percent,,,sale,template_impcode_riscossa_l244,,template_impcode_riscossa_l244,,-1,-1,False,1,1
l98a27a,l98a27a,l10n_it_chart_template_generic,Acq.senza IVA art.27 L.98/11,77,,,False,percent,,,purchase,template_impcode_pagata_l98,,template_impcode_pagata_l98,,1,1,False,-1,-1
l98a27v,l98a27v,l10n_it_chart_template_generic,Vend.senza IVA art.27 L.98/11,78,,,False,percent,,,sale,template_impcode_riscossa_l98,,template_impcode_riscossa_l98,,-1,-1,False,1,1
w20,W-RIT-20,l10n_it_chart_template_generic,Rit 20 acquisti,90,"-0.2",,FALSO,percent,2672,2672,purchase,template_rit_20_b,template_rit_20_t,template_rit_20_b,template_rit_20_t,,,FALSO,-1,-1
